,0
F2S4_160113_020_A01,1324116
F2S4_160113_020_B01,803464
F2S4_160113_020_C01,1170003
F2S4_160113_020_D01,1367139
F2S4_160113_020_E01,1389582
F2S4_160113_020_F01,1140163
F2S4_160113_020_G01,1121226
F2S4_160113_020_H01,1024853
F2S4_160113_021_A01,1243445
F2S4_160113_021_B01,1399668
F2S4_160113_021_C01,1216879
F2S4_160113_021_D01,1010467
F2S4_160113_021_E01,1294667
F2S4_160113_021_F01,1401551
F2S4_160113_021_G01,1183359
F2S4_160113_021_H01,1037247
F2S4_160113_022_A01,1699732
F2S4_160113_022_B01,465687
F2S4_160113_022_C01,1251290
F2S4_160113_022_D01,1344083
F2S4_160113_022_E01,537794
F2S4_160113_022_F01,1173876
F2S4_160113_022_G01,1017557
F2S4_160113_022_H01,1373369
F2S4_160115_017_A01,1165164
F2S4_160115_017_B01,1212518
F2S4_160115_017_C01,1344682
F2S4_160115_017_D01,1044111
F2S4_160115_017_E01,1088312
F2S4_160115_017_F01,1374788
F2S4_160115_017_G01,1200823
F2S4_160115_017_H01,1120892
F2S4_160115_018_A01,1105609
F2S4_160115_018_B01,1044805
F2S4_160115_018_C01,1079800
F2S4_160115_018_D01,1079704
F2S4_160115_018_E01,1207432
F2S4_160115_018_F01,1221596
F2S4_160115_018_G01,1163600
F2S4_160115_018_H01,1206822
F2S4_160115_019_A01,550875
F2S4_160115_019_B01,1303612
F2S4_160115_019_C01,1227331
F2S4_160115_019_D01,1264307
F2S4_160115_019_E01,1094359
F2S4_160115_019_F01,1493569
F2S4_160115_019_G01,1291415
F2S4_160115_020_A01,1320096
F2S4_160115_020_B01,1320751
F2S4_160115_020_C01,1401803
F2S4_160115_020_D01,1603451
F2S4_160115_020_E01,1530669
F2S4_160115_020_F01,1422086
F2S4_160115_020_G01,1058609
F2S4_160115_020_H01,1188426
F2S4_160115_024_A01,242665
F2S4_160115_024_B01,1205745
F2S4_160115_024_C01,815056
F2S4_160115_024_D01,813361
F2S4_160115_024_E01,1019700
F2S4_160115_024_F01,1185495
F2S4_160115_024_G01,1226719
F2S4_160115_024_H01,1119915
F2S4_160115_025_A01,1064042
F2S4_160115_025_B01,1351209
F2S4_160115_025_C01,963374
F2S4_160115_025_D01,1423667
F2S4_160115_025_E01,1897753
F2S4_160115_025_F01,1590145
F2S4_160115_025_G01,1280139
F2S4_160115_025_H01,1412257
F2S4_160115_026_A01,1290926
F2S4_160115_026_B01,1238506
F2S4_160115_026_C01,1459169
F2S4_160115_026_D01,1262226
F2S4_160115_026_E01,1456388
F2S4_160115_026_F01,847550
F2S4_160115_026_G01,1207770
F2S4_160115_026_H01,1152281
F2S4_160115_027_A01,225338
F2S4_160115_027_B01,966268
F2S4_160115_027_C01,1278377
F2S4_160115_027_D01,884652
F2S4_160115_027_E01,1411563
F2S4_160115_027_F01,1512391
F2S4_160115_027_G01,1111480
F2S4_160115_027_H01,1187083
F2S4_160114_013_A01,1481427
F2S4_160114_013_B01,1527252
F2S4_160114_013_C01,1696568
F2S4_160114_013_D01,1864770
F2S4_160114_013_E01,1715908
F2S4_160114_013_F01,1826587
F2S4_160114_013_G01,1857879
F2S4_160114_013_H01,1752458
F2S4_160114_005_A01,1391759
F2S4_160114_005_B01,1522572
F2S4_160114_005_C01,1655761
F2S4_160114_005_D01,1318512
F2S4_160114_005_E01,1491854
F2S4_160114_005_F01,1437610
F2S4_160114_005_G01,2467711
F2S4_160114_005_H01,1613647
F2S4_160114_006_A01,272923
F2S4_160114_006_B01,232168
F2S4_160114_006_C01,493526
F2S4_160114_006_D01,1626303
F2S4_160114_006_E01,571854
F2S4_160114_006_F01,1283440
F2S4_160114_006_G01,544387
F2S4_160114_006_H01,264011
F2S4_160114_014_A01,1580981
F2S4_160114_014_B01,1522646
F2S4_160114_014_C01,1321030
F2S4_160114_014_D01,1236956
F2S4_160114_014_E01,632255
F2S4_160114_014_F01,1583997
F2S4_160114_014_G01,1867529
F2S4_160114_014_H01,1298224
F2S4_160114_015_A01,1227810
F2S4_160114_015_B01,1318943
F2S4_160114_015_C01,1176480
F2S4_160114_015_D01,1483394
F2S4_160114_015_E01,1220240
F2S4_160114_015_F01,1551851
F2S4_160114_015_G01,1568983
F2S4_160114_015_H01,1312593
F2S4_160114_020_A01,1238833
F2S4_160114_020_B01,1213294
F2S4_160114_020_C01,1205853
F2S4_160114_020_D01,1523459
F2S4_160114_020_E01,1440672
F2S4_160114_020_F01,1513715
F2S4_160114_020_G01,1471807
F2S4_160114_020_H01,1367576
F2S4_160114_021_A01,2039535
F2S4_160114_021_B01,1376743
F2S4_160114_021_C01,1206179
F2S4_160114_021_D01,1825189
F2S4_160114_021_E01,1490358
F2S4_160114_021_F01,1674769
F2S4_160114_021_G01,1532161
F2S4_160114_021_H01,1533100
F2S4_160115_007_A01,1772195
F2S4_160115_007_B01,1261402
F2S4_160115_007_C01,1715859
F2S4_160115_007_D01,1394389
F2S4_160115_007_E01,1377596
F2S4_160115_007_F01,1540067
F2S4_160115_007_G01,1249015
F2S4_160115_007_H01,1727217
F2S4_160115_008_A01,1164781
F2S4_160115_008_B01,1126399
F2S4_160115_008_C01,1856809
F2S4_160115_008_D01,1845860
F2S4_160115_008_E01,1695736
F2S4_160115_008_F01,1441251
F2S4_160115_008_G01,1711426
F2S4_160115_008_H01,1340318
F2S4_160115_011_A01,2093473
F2S4_160115_011_B01,1490675
F2S4_160115_011_C01,1289014
F2S4_160115_011_D01,1606570
F2S4_160115_011_E01,1512202
F2S4_160115_011_F01,1802416
F2S4_160115_011_G01,1714233
F2S4_160115_011_H01,1449509
F2S4_160115_012_A01,2000417
F2S4_160115_012_B01,825098
F2S4_160115_012_C01,1446444
F2S4_160115_012_D01,1519495
F2S4_160115_012_E01,1553979
F2S4_160115_012_F01,1722178
F2S4_160115_012_G01,1129338
F2S4_160115_012_H01,1670219
F2S4_160119_005_A01,1174749
F2S4_160119_005_B01,1024585
F2S4_160119_005_D01,1158459
F2S4_160119_005_E01,1147442
F2S4_160119_005_F01,1063520
F2S4_160119_005_G01,1205120
F2S4_160119_005_H01,985808
F2S4_160119_006_A01,2044467
F2S4_160119_006_B01,1940978
F2S4_160119_006_C01,1805941
